class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,17.18,f,g,e,f,e,,w,18.58,18.52,s,y,w,u,w,t,g,,d,a
p,15.3,x,h,e,f,e,,w,16.95,17.08,s,y,w,u,w,t,g,,d,u
p,14.94,f,h,o,f,e,,w,16.84,16.74,s,y,w,u,w,t,p,,d,a
p,13.37,f,g,e,f,e,,w,18.1,17.6,s,y,w,u,w,t,g,,d,u
p,17.23,x,h,e,f,e,,w,17.42,16.83,s,y,w,u,w,t,p,,d,w
p,13.9,x,h,e,f,e,,w,17.83,18.72,s,y,w,u,w,t,g,,d,a
p,16.18,f,h,o,f,e,,w,18.63,17.7,s,y,w,u,w,t,g,,d,u
p,19.17,x,h,e,f,e,,w,19.71,19.47,s,y,w,u,w,t,g,,d,a
p,14.95,x,g,e,f,e,,w,18.38,17.31,s,y,w,u,w,t,g,,d,w
p,13.39,f,h,e,f,e,,w,18.34,18.28,s,y,w,u,w,t,p,,d,u
p,14.46,x,g,o,f,e,,w,17.45,16.85,s,y,w,u,w,t,p,,d,a
p,14.93,x,h,e,f,e,,w,17.38,17.47,s,y,w,u,w,t,p,,d,a
p,15.71,f,g,e,f,e,,w,17.16,17.97,s,y,w,u,w,t,p,,d,a
p,15.25,f,h,e,f,e,,w,18.42,18.04,s,y,w,u,w,t,g,,d,a
p,15.14,x,g,o,f,e,,w,16.39,17.44,s,y,w,u,w,t,p,,d,u
p,13.15,f,h,o,f,e,,w,16.95,17.37,s,y,w,u,w,t,g,,d,w
p,17.15,x,g,o,f,e,,w,18.17,17.67,s,y,w,u,w,t,p,,d,a
p,14.35,x,h,o,f,e,,w,17.28,17.8,s,y,w,u,w,t,g,,d,a
p,13.71,x,h,o,f,e,,w,16.57,16.69,s,y,w,u,w,t,g,,d,a
p,15.34,f,h,e,f,e,,w,17.04,17.46,s,y,w,u,w,t,g,,d,u
p,17.65,f,g,o,f,e,,w,18.33,18.68,s,y,w,u,w,t,g,,d,u
p,15.32,f,g,e,f,e,,w,17.56,17.07,s,y,w,u,w,t,p,,d,a
p,12.27,x,h,o,f,e,,w,15.43,16.19,s,y,w,u,w,t,g,,d,w
p,13.43,x,h,o,f,e,,w,17.74,17.37,s,y,w,u,w,t,p,,d,a
p,13.67,f,g,o,f,e,,w,16.42,16.1,s,y,w,u,w,t,p,,d,w
p,13.99,x,g,e,f,e,,w,17.86,16.82,s,y,w,u,w,t,p,,d,w
p,15.97,f,g,e,f,e,,w,16.9,16.92,s,y,w,u,w,t,p,,d,u
p,15.03,f,g,e,f,e,,w,16.65,15.79,s,y,w,u,w,t,g,,d,w
p,16.11,x,g,e,f,e,,w,17.26,16.86,s,y,w,u,w,t,p,,d,w
p,15.82,x,h,e,f,e,,w,17.12,16.81,s,y,w,u,w,t,g,,d,a
p,15.26,f,g,o,f,e,,w,17.87,18.12,s,y,w,u,w,t,g,,d,a
p,15.05,f,h,e,f,e,,w,18.07,17.47,s,y,w,u,w,t,g,,d,a
p,18.02,f,g,o,f,e,,w,18.55,18.32,s,y,w,u,w,t,p,,d,w
p,16.49,x,g,e,f,e,,w,18.37,17.61,s,y,w,u,w,t,g,,d,u
p,18.62,x,g,e,f,e,,w,19.17,19.77,s,y,w,u,w,t,p,,d,w
p,14.67,f,g,e,f,e,,w,17.78,18.19,s,y,w,u,w,t,g,,d,w
p,14.44,f,g,o,f,e,,w,16.37,17.05,s,y,w,u,w,t,g,,d,w
p,15.91,f,h,o,f,e,,w,17.77,18.06,s,y,w,u,w,t,g,,d,u
p,16.46,x,g,e,f,e,,w,17.93,17.6,s,y,w,u,w,t,g,,d,a
